image,iou,precision,recall,f1,score
0.png,0.3355488700762611,0.9407610827775599,0.34279179472518045,0.5024883440725025,0.06667932122945786
1 (3).png,0.1750952179432924,0.30336357804050956,0.2928426081571264,0.29801026379760515,0.07660242170095444
1_1_1_g (2).png,0.24207839014867097,0.5778813407420684,0.2940800875672717,0.38979567162374557,0.08039888739585876
1_1i_Ls_1.png,0.22131240759695212,0.608125,0.25812441968430827,0.3624173572958376,0.055685851722955704
1_1n_Ls_1.png,0.1475220215321648,0.4461186600295977,0.1806001851750994,0.25711405753275957,0.0672454684972763
1_1n_Ru_2.png,0.46281551753345757,0.7774615822424588,0.5334895528217145,0.6327735958309206,0.10119496285915375
1_1p_Lr_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ls_1.png,0.0,0.0,0.0,0.0,0.0
1_1p_Rl_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Rs_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ru_1.png,0.0,0.0,0.0,0.0,0.0
