image,iou,precision,recall,f1,score
0.png,0.3804313725490196,0.4573785950023574,0.6933743120577515,0.5511775233658135,0.05861571803689003
1 (3).png,0.2185461927180063,0.29923122412773506,0.44766876050606036,0.3586998901215752,0.061664607375860214
1_1_1_g (2).png,0.16376961383068683,0.2524440582228981,0.3179786554775153,0.2814467947682868,0.055878687649965286
1_1i_Ls_1.png,0.2572817421738285,0.38346954152900947,0.43878498474598754,0.40926664810862645,0.05654890090227127
1_1n_Ls_1.png,0.21647712245437714,0.35519392459994575,0.3566254561298404,0.3559082508968366,0.0614410862326622
1_1n_Ru_2.png,0.42789812772949365,0.5603624009060023,0.6441450237583806,0.5993398540411229,0.07803698629140854
1_1p_Lr_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ls_1.png,0.0,0.0,0.0,0.0,0.0
1_1p_Rl_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Rs_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ru_1.png,0.0,0.0,0.0,0.0,0.0
