image,iou,precision,recall,f1,score
0.png,0.2588901001920781,0.4861097572862852,0.35644342791794725,0.41129896907216495,0.0761643499135971
1 (3).png,0.11774732839441421,0.31256526279150715,0.15889586835353445,0.2106868438031556,0.07884234935045242
1_1_1_g (2).png,0.14442262621143978,0.32094594594594594,0.20797227036395147,0.25239386727182156,0.08193483203649521
1_1i_Ls_1.png,0.25847408270238786,0.6796324655436448,0.2943361188486537,0.41077378748611626,0.08644185215234756
1_1n_Ls_1.png,0.06612071580224446,0.24439461883408073,0.08311094166984369,0.1240398293029872,0.09284905344247818
1_1n_Ru_2.png,0.3697254901960784,0.6527277762392689,0.4602616676430385,0.5398534127347687,0.10231044143438339
1_1p_Lr_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ls_1.png,0.09497759716578097,0.45677774993735903,0.1070715376483026,0.17347861255174382,0.06162315234541893
1_1p_Rl_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Rs_2.png,0.0,0.0,0.0,0.0,0.0
1_1p_Ru_1.png,0.0047489823609226595,0.04180064308681672,0.005329116889201218,0.009453072248480755,0.07189913839101791
